Product Name,Projected Obsolete Date
BMC Helix IT Service Management OnPrem - Suite User License Add-on,2030-12-31 00:00:00
BMC Helix IT Service Management OnPrem - Virtual Chat User License,2030-12-31 00:00:00
BMC Helix ITSM for Migrations - Suite Concurrent User License,2031-03-31 00:00:00
BMC Helix ITSM for Migrations - Suite User License,2031-03-31 00:00:00
BMC Helix ITSM OnPrem - AI Service Management Concurrent User License,2031-03-31 00:00:00
BMC Helix ITSM OnPrem - AI Service Management User License,2031-03-31 00:00:00
BMC Helix Remedyforce Service Desk,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk - Additional Data Storage 500MB,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk - Additional File Storage 1GB,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk - Casual User,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk - Sandbox,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Event Monitoring - Add-On,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Event Monitoring - Casual User - Add-On,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Field Audit Trail - Add-On,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Field Audit Trail - Casual User - Add-On,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Platform Encryption - Add-On,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Platform Encryption - Casual User - Add-On,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Shield - Add-On,2029-09-30 00:00:00
BMC Helix Remedyforce Service Desk Shield - Casual User - Add-On,2029-09-30 00:00:00
BMC Helix Service Management - Advanced - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management - Advanced - Named User,2032-08-31 00:00:00
BMC Helix Service Management - Standard - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management - Standard - Named User,2032-08-31 00:00:00
BMC Helix Service Management (German Regulated Cloud) - Standard - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management (German Regulated Cloud) - Standard - Named User,2032-08-31 00:00:00
BMC Helix Service Management for Telco - Concurrent User,2031-03-31 00:00:00
BMC Helix Service Management for Telco - Named User,2031-03-31 00:00:00
BMC Helix Service Management for Telco OnPrem - Concurrent User,2031-03-31 00:00:00
BMC Helix Service Management for Telco OnPrem - Named User,2031-03-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 4) - Advanced - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 4) - Advanced - Named User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 4) - Standard - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 4) - Standard - Named User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Advanced - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Advanced - Concurrent User - per ticket  - SaaS,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Advanced - Named User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Advanced - Named User - per ticket - SaaS,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Standard - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Standard - Concurrent User - per ticket - SaaS,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Standard - Named User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (DoD Impact Level 5) - Standard - Named User - per ticket - SaaS,2032-08-31 00:00:00
BMC Helix Service Management on AWS (FedRAMP) - Advanced - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (FedRAMP) - Advanced - Named User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (FedRAMP) - Standard - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management on AWS (FedRAMP) - Standard - Named User,2032-08-31 00:00:00
BMC Helix Service Management OnPrem - Advanced - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management OnPrem - Advanced - Named User,2032-08-31 00:00:00
BMC Helix Service Management OnPrem - Standard - Concurrent User,2032-08-31 00:00:00
BMC Helix Service Management OnPrem - Standard - Named User,2032-08-31 00:00:00
BMC Helix Telco Extensions - Concurrent User,2031-03-31 00:00:00
BMC Helix Telco Extensions - Named User,2031-03-31 00:00:00
BMC Helix Telco Extensions OnPrem - Concurrent User,2031-03-31 00:00:00
BMC Helix Telco Extensions OnPrem - Named User,2031-03-31 00:00:00
BMC Helix Virtual Agent - Basic - Active User (100 Users),00:00:00
BMC Helix Virtual Agent - Basic - Named User (100 Users),00:00:00
BMC Helix Virtual Agent Advanced - Active User (100 Users),2030-12-31 00:00:00
BMC Helix Virtual Agent Advanced - Named User (100 Users),2030-12-31 00:00:00
BMC Helix Virtual Agent Advanced for Bring Your Own IBM Watson - Active User (100 Users),2030-12-31 00:00:00
BMC Helix Virtual Agent Advanced for Bring Your Own IBM Watson - Named User (100 Users),2030-12-31 00:00:00
BMC Helix Virtual Agent Advanced Premium Environment - Active User (100 Users),2030-12-31 00:00:00
BMC Helix Virtual Agent Advanced Premium Environment - Named User (100 Users),2030-12-31 00:00:00
BMC Helix Virtual Agent Basic for Bring Your Own IBM Watson - Active User (100 Users),00:00:00
BMC Helix Virtual Agent Basic for Bring Your Own IBM Watson - Named User (100 Users),00:00:00
BMC Helix Virtual Agent Basic Premium Environment - Active User (100 Users),00:00:00
BMC Helix Virtual Agent Basic Premium Environment - Named User (100 Users),00:00:00
BMC Premier Support Advanced - CLM - Level 2,2025-03-31 00:00:00
BMC Premier Support Advanced - CMDB or Discovery - Level 2,2024-11-12 00:00:00
BMC Premier Support Advanced - TrueSight Infrastructure Management - Level 1,2024-11-12 00:00:00
BMC Premier Support Advanced - TSO - Level 1,2024-11-12 00:00:00
BMC Premier Support Advanced - TSSA - Level 1,2024-11-12 00:00:00
BMC Premier Support Enablement Bundle - Automation for Servers - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Capacity Optimization - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Discovery - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Emerging Markets - Discovery - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Emerging Markets - ITSM - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Emerging Markets - Network Automation - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Emerging Markets - Orchestrator - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - ITSM - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Network Automation - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Operations Management - SaaS,2026-04-01 00:00:00
BMC Premier Support Enablement Bundle - Orchestrator - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Automation for Servers - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Capacity Optimization - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Discovery - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Emerging Markets - Automation for Servers - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Emerging Markets - Capacity Optimization - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Emerging Markets - Discovery - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Emerging Markets - ITSM - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Emerging Markets - Network Automation - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Emerging Markets - Operations Management - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Emerging Markets - Orchestrator - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - ITSM - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Network Automation - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Operations Management - SaaS,2026-04-01 00:00:00
BMC Premier Support Foundation - Orchestrator - SaaS,2026-04-01 00:00:00
BMC Premier Support Governance - Emerging Markets - SaaS,2026-04-01 00:00:00
BMC Premier Support Governance - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Automation for Servers - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Capacity Optimization - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Discovery - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Emerging Markets - Automation for Servers - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Emerging Markets - Capacity Optimization - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Emerging Markets - Discovery - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Emerging Markets - ITSM - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Emerging Markets - Operations Management - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Emerging Markets - Orchestrator - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - ITSM - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Network Automation - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Operations Management - SaaS,2026-04-01 00:00:00
BMC Premier Support Risk Mitigation Bundle - Orchestrator - SaaS,2026-04-01 00:00:00
BMC Premier Support Technical - Netreo Professional,2029-07-16 00:00:00
BMC Premier Support Technical - Netreo Ultimate,2029-07-16 00:00:00
BMC Recovery Manager for Databases,2025-09-30 00:00:00
BMC Recovery Manager for Databases on Microsoft Windows,2025-09-30 00:00:00
BMC Recovery Manager Module for IBM Tivoli Storage Manager,2025-09-30 00:00:00
BMC Recovery Manager Module for Symantec NetBackup,2025-09-30 00:00:00
BMC StreamWeaver - Premium,2024-12-31 00:00:00
FootPrints 1 Named 2 CC User Software Package - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints 5 Named User Software Package - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Additional Concurrent User Agents - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Additional Named User Agents - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Change Management - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Change Management Concurrent User Uplift - Managed Care Hosting Fee - SAAS,2025-04-30 00:00:00
FootPrints Change Management User Uplift - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Configuration Management - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Configuration Management Concurrent User Uplift - Managed Care Hosting,2025-04-30 00:00:00
FootPrints Configuration Management User Uplift Fee - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints CRM Bridge - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Dyn. SQL DB Link/DS DL - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Dynamic Address Book Link - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Dynamic Address Book Link /LD AP,00:00:00
FootPrints Mobile,00:00:00
FootPrints Mobile - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints MS SCCM Integration,00:00:00
FootPrints MS SCCM Integration - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Suite Software Package - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
FootPrints Unlimited Named User Agents,00:00:00
FootPrints Unlimited Named User Agents - Managed Care Hosting Fee - SaaS,2025-04-30 00:00:00
MyIT Digital Workplace,2023-09-30 00:00:00
Nlyte Enterprise Edition for BMC Software - MarketZone,2024-05-31 00:00:00
Remedy IT Service Management Suite - Backup License,2030-12-31 00:00:00
Remedy IT Service Management Suite - Development License,2030-12-31 00:00:00
Remedy Knowledge Management Specialist - Floating User Add-On License,2030-12-31 00:00:00
Remedy Knowledge Management Specialist - User Add-On License,2030-12-31 00:00:00
Remedy Self Service - Floating User Add-On License 25-Pk Lsn,2027-06-03 00:00:00
Remedy Self Service - User Add-On License 50-Pk Lsn,2025-12-31 00:00:00
Remedyforce Client Management - Premium,2029-09-30 00:00:00
Remedyforce Client Management - Premium Plus,2029-09-30 00:00:00
Remedyforce Client Management Premium Nodes,2029-09-30 00:00:00
Remedyforce Client Management Premium Plus Nodes,2029-09-30 00:00:00
Sentry Microsoft Applications Analyzer for TrueSight Operations Management - MarketZone,2025-12-31 00:00:00
SQL-BackTrack for Oracle,2025-09-30 00:00:00
SQL-BackTrack for Sybase,2025-09-30 00:00:00
Stackify Prefix Premium Edition,2027-03-31 00:00:00
Stackify Retrace Enterprise (15-day retention),2027-03-31 00:00:00
Stackify Retrace Enterprise (30-day retention),2027-03-31 00:00:00
Stackify Retrace Enterprise (60-day retention),2027-03-31 00:00:00
Stackify Retrace Enterprise (90-day retention),2027-03-31 00:00:00
TrueSight Cloud Cost Control,2026-03-31 00:00:00
TrueSight Server Automation - Windows Server 2012 Extended Patching Service,2026-10-15 00:00:00
TrueSight Vulnerability Management - Device Endpoint License Add-on,2024-03-31 00:00:00
TrueSight Vulnerability Management - Server Endpoint License Add-on,2024-03-31 00:00:00
