Account CSN,Account Name,Tier Global Helix,Partner Flag,Partner Incentive Type
3254532,Sirote & Permutt pc,Tier 5,0,
20029678,Chick-fil-A Supply,Tier 4,0,Reseller
20022576,Siemens AG,Tier 2a,0,
2281879,Kyklos Bearing International,Tier 5,0,
611014,OshKosh B'Gosh Incorporated,Tier 5,0,
20029679,Noventiq Services India Private Limited,Tier 5,1,Reseller
20022579,Martinez IT Consulting Services,Tier 5,0,
2273218,Midway Products,Tier 5,0,
585097,Credomatic of Florida,Tier 5,0,
20021264,Toyobo Co Ltd,Tier 3d,0,Reseller
20022580,Racine County,Tier 3c,0,
2278172,Donegal Insurance,Tier 5,0,
574673,Innovative Concepts Incorporated,Tier 5,0,
20029681,Page Industries Limited,Tier 5,0,Reseller
20022585,Aethercomm Inc,Tier 5,0,
2278220,Middlesex Savings Bank,Tier 5,0,
503875,Niagara Falls Memorial Medical,Tier 5,0,
20029682,Regal Rexnord Corporation,Tier 3b,0,Reseller
20022586,Deutsche Gesetzliche Unfallversicherung,Tier 5,0,
2274908,Glen Lake Community Schools,Tier 5,0,
2121962,MMI Products Inc,Tier 5,0,
20029683,IPG Health LLC,Tier 2a,0,Reseller
20022587,Ellisphere SA,Tier 5,0,
2285138,EL Centro College,Tier 5,0,
624243,Capital Region Medical Center,Tier 5,0,
20029684,Empresa Municipal de Transportes de Madrid,Tier 2a,0,Reseller
20022588,Camin Cargo Control Inc,Tier 5,0,
2289446,Day 1 Studios,Tier 5,0,
599819,Beech Street Corporation,Tier 5,0,
20029685,The Jammu And Kashmir Bank Ltd,Tier 3a,0,Reseller
20022589,Groupe Puce & Plume,Tier 5,0,
2278404,Planned Parenthood of the Inland Northwest,Tier 5,0,
580833,Stanley Furniture Incorporated,Tier 5,0,
20029687,WOT Constructora y Comercializadora SA de CV,Tier 5,0,Reseller
20022590,PNC Global Transfer Incorporated,Tier 1,0,
2282651,Whitman County,Tier 3c,0,
2123441,United Refrigeration Incorporated,Tier 4,0,
20029688,Enfo Oy,Tier 3a,0,Reseller
20022591,Telefonica Chile S.A.,Tier 1,0,
2299516,University Pediatric Associates,Tier 5,0,
2163826,Sherburne County,Tier 5,0,
20029689,Generali Operations Service Platform Srl,Tier 1,0,Reseller
20022592,Oregon Tool Incorporated,Tier 5,0,Reseller
2281459,Industrial Economics,Tier 5,0,
578278,City of Waco,Tier 3c,0,
20029690,Generali Operations Service Platform Srl,Tier 1,0,Reseller
20022593,Khimji Ramdas,Tier 5,0,
2278817,South Coast ESD Region #7,Tier 5,0,
2100631,Carollo Engineers,Tier 5,0,
20029691,Artech LLC,Tier 5,0,Reseller
20022595,CGI Deutschland B.V. & Co. KG,GOSI,1,
2280435,Paradigm Technologies,Tier 5,0,
563640,Zygo Corporation,Tier 5,0,
20029692,Derive Technologies LLC,Tier 5,1,Reseller
20022599,Mahindra USA Inc,Tier 4,0,
2268235,Medivation Incorporated,Tier 5,0,
570934,Zippo Manufacturing Company,Tier 5,0,
20029693,Whale Cloud Technology Co Ltd,Tier 5,0,Reseller
20022619,Theeb Rent A Car Co.,Tier 3a,0,
2272463,Senate of Pennsylvania Office of the Chief Clerk,Tier 3c,0,
541856,Connecticut Department Of Motor Vehicles,Tier 3c,0,
20029694,FreshWave Group,Tier 4,0,Reseller
20022620,HEAS,Tier 3d,0,
2283474,Manchester Capital Management,Tier 5,0,
583797,Ellett Brothers Incorporated,Tier 5,0,
20029695,Vandalia Health Inc,Tier 5,0,Reseller
20022621,Imperva,Tier 5,0,
2270901,Hopkinsville Community College,Tier 5,0,
2098109,Columbia Legal Services,Tier 5,0,
20029696,Provincia Oy,Tier 5,0,Reseller
20022623,Newfoundland Power,Tier 2b,0,
2268042,Terros Incorporated,Tier 5,0,
578841,Compunet Clinical Labor,Tier 5,0,
20029697,Attineos,Tier 5,0,Reseller
20022624,Losan GestiÃ³n Integral S.L.,Tier 5,0,
2268751,Indiana Housing & Community Dev Authority,Tier 5,0,
627120,Memorial Hospital,Tier 5,0,
20029699,Revere Control,Tier 5,0,Reseller
20022625,Canadian Medical Association,Tier 5,0,
2270961,Trust Company of Illinois,Tier 5,0,
585016,Wooster Brush Company,Tier 5,0,
20029700,Avenir Technologies Inc,Tier 5,1,ISV Partner
20022626,Office of the President of the Philippines,Tier 5,0,
2282240,KIRO TV,Tier 5,0,
2062319,American Seating Company,Tier 5,0,
20029701,Croix Bleue du Quebec,Tier 5,0,Reseller
20022627,Trans Austria Gasleitung GmbH,Tier 3a,0,
2280940,Palm Beach County Workforce,Tier 5,0,
580503,Silver Legacy,Tier 5,0,
20029702,NTT DATA Canada Inc,GOSI,0,Reseller
20022628,Digital Health and Care Wales,Tier 5,0,
2275287,Broadway Medical Clinic,Tier 5,0,
2180338,Index Sensors & Controls,Tier 5,0,
20029703,MUFG Retirement Solutions HK Limited,Tier 5,0,Reseller
20022629,I-DE Redes Electricas Inteligentes SAU,Tier 1,0,
2271107,Genesis Networks Solutions,Tier 5,0,
581775,Southern Regional Medical Center,Tier 5,0,
20029704,PT Smartnet Magna Global,Tier 5,1,Reseller
20022630,Ledo plus doo,Tier 3d,0,
2269961,Honest HVAC,Tier 5,0,
2150193,Red Rock Behavioral Health Services,Tier 5,0,
20029705,Silver Leaf Solutions Pvt Ltd,Tier 5,1,Reseller
20022631,Reliance Globalcom Limited,Tier 2c,0,
2278814,Spriggs of Hollingsworth,Tier 5,0,
582199,Fike Corporation,Tier 5,0,
20029706,Sunrise Network Co Ltd,Tier 5,0,Reseller
20022635,RSA Security LLC,Tier 4,0,
2289219,"New Albany-Floyd Co, Schools",Tier 5,0,
557915,Keystone Powdered Metal Company,Tier 5,0,
20029707,DMC Primary Care,Tier 5,0,Reseller
20022636,TVS Motor Company Limited,Tier 5,0,
2274417,Annie Wright School,Tier 5,0,
545002,Pacific Maritime Association,Tier 5,0,
20029708,Stoke City Football Club Limited,Tier 1,0,Reseller
20022637,TVS Credit Services Limited,Tier 5,0,
2271427,Champion Bus,Tier 5,0,
2001500,Mid South Health Systems Incorporated,Tier 5,0,
20029709,Cloudforce LLC,Tier 5,0,Reseller
20022633,Gunnison Consulting Group Inc,Tier 3c,1,Distributor
2279943,Forensic Risk Alliance LP dba FRA,Tier 5,0,
576304,Calhoun Community College Dp Dept,Tier 5,0,
20029712,COMPUTER 2000 Bulgaria,Tier 3d,0,Reseller
20022639,Capps Home Building Center Inc,Tier 5,0,
2268809,Preferred Health Partners,Tier 5,0,
2063120,Barlow Respiratory Hospital,Tier 5,0,
20029714,Kraton Chemical LLC,Tier 3b,0,Reseller
20022640,Bristlecone Inc,Tier 4,0,
2323074,High Point University,Tier 5,0,
631271,Palms Casino Resort,Tier 5,0,
20029715,Covestro LLC,Tier 3b,0,Reseller
20022641,Daimler Truck Financial Services USA LLC,Tier 3b,0,
2274499,Comanche Nation Gaming Commission,Tier 3c,0,
573058,Humboldt State University OPEN,Tier 4,0,
20029716,Beth Israel Lahey Health Inc,Tier 3b,0,Reseller
20022642,Mercedes-Benz Financial Services USA LLC,Tier 3a,0,
2270573,Euromoney Institutional Investor,Tier 5,0,
2062766,Church Pension Group Services Corporation,Tier 5,0,
20029717,Tufts Medicine Inc,Tier 4,0,Reseller
20022643,ADENTRA Incorporated,Tier 5,0,
2281604,Universal Understanding Incorporated,Tier 5,0,
2123436,Wiseco Pistons,Tier 5,0,
20029719,PSE Innowacje sp. z o.o.,Tier 3d,0,Reseller
20022645,Techstep Sweden AB,Tier 5,0,
2269161,Gregg County Info Technology,Tier 5,0,
787087,Shannon Clinic,Tier 5,0,
20029721,VBT Software DE GmbH,Tier 3a,1,Reseller
20022646,White Collar Factory,Tier 5,0,
2277742,Greenwood Metropolitan District,Tier 5,0,
2181545,County of Summit Engineer,Tier 3c,0,
20029722,UltraEdge,Tier 4,0,Reseller
20022647,Mississippi Department of Agriculture and Commerce,Tier 3c,0,
2268511,Bjwsa,Tier 5,0,
634062,Stillwater Medical Center,Tier 5,0,
20029723,Les Domaines Barons de Rothschild Lafite,Tier 5,0,Reseller
20022648,Bol.com BV,Tier 2b,0,
2269072,Atlas REO,Tier 5,0,
2004145,TeleNet Marketing Solutions,Tier 5,0,
20029724,Hexagon Metrology S.r.o.,Tier 3d,0,Reseller
20022650,Monument Health Rapid City Hospital Incorporated,Tier 5,0,
2282655,Montana Supreme Court-IT,Tier 3c,0,
2184957,Guidewire Software Incorporated,Tier 5,0,
20029726,Kepro Solutions Limited,Tier 5,0,Reseller
20022651,Cardinal Health Inc,Tier 2b,0,
2273050,Sonoma Valley Unified School District,Tier 5,0,
574065,Indus Corporation,Tier 5,0,
20029727,SmartOne,Tier 5,0,Reseller
20022652,HITSS SOLUTIONS SA de CV,Tier 1,1,Reseller; VAR Sell To
573748,Missouri Western State College,Tier 5,0,
3255842,Rincon Research Corp,Tier 5,0,
20029728,Associacao Para Interoperabilidade de IMFS APIIMF,Tier 5,0,Reseller
20022653,Palms Medical Group,Tier 5,0,
2276218,Commercial Bank,Tier 5,0,
2169923,Regency Lighting,Tier 5,0,
20029729,SBG Funding LLC,Tier 5,0,Reseller
20022654,Callahan Construction Managers,Tier 5,0,
2297019,Freeway Insurance Services Incorporated,Tier 5,0,
2120706,Prince William Hospital,Tier 3c,0,
20029730,Integre Solutions Private Limited,Tier 5,1,Reseller
20022071,Agenzia delle entrate-Riscossione,Tier 2b,0,Reseller
2278313,Dominion Auto Group,Tier 5,0,
2118740,Gillette Childrens Specialty Healthcare,Tier 5,0,
20029731,Tech-Trans Telecom (China) Limited,Tier 5,1,Reseller
20022658,"Truvalue Asset Management Co.,Ltd.",Tier 5,0,
2271136,Robeson Community College,Tier 5,0,
2115467,"Triple Net Properties, LLC",Tier 5,0,
20029733,Al Maha Petroleum,Tier 5,0,Reseller
20022669,Spectate Limited,Tier 5,0,
631102,Superior Court of California San Francisco,Tier 3c,0,
734300,"Vocollect, Inc.",Tier 5,0,
20029734,Ministry of Justice and Legal Affairs MJLA,Tier 5,0,Reseller
20029779,Unizent Technologies Private Limited,Tier 5,1,Reseller
2277139,Platte-Clay Electric Cooperative,Tier 5,0,
581766,Southern Maryland Hospital Center,Tier 4,0,
20029735,Oman International Development and Investment Company OmniVest,Tier 5,0,Reseller
20029780,Sisal Italia S.p.A.,Tier 4,0,Reseller
2299179,Anderson Direct Marketing,Tier 5,0,
631352,Collins Financial Services USA Incorporated,Tier 5,0,
20029736,Console Connect (HK) Limited,Tier 3a,0,Reseller
20029781,Monogram Health Inc,Tier 5,0,Reseller
2277308,City of Delano,Tier 5,0,
2185049,HBMG Incorporated,Tier 5,0,
20029737,FERI Management AG,Tier 5,0,Reseller
20029782,Avenue Living Asset Management,Tier 5,0,Reseller
2298100,Verify Incorporated,Tier 5,0,
605497,City of Independence,Tier 3c,0,
20029738,Rithmic LLC,Tier 5,0,Reseller
20029783,GRUPO CAPITAL DF,Tier 5,0,Reseller
2269042,Martinsburg Public Library,Tier 5,0,
2139741,Cornell Companies Incorporated,Tier 5,0,
20029739,CapTech Ventures Inc,Tier 5,0,Reseller
20029784,RUMO SA,Tier 5,0,Reseller
2269838,Uiecu,Tier 5,0,
2154984,Bag 'n Baggage Ltd,Tier 5,0,
20029740,Mercadotecnia Ideas y Tecnologia SA de CV,Tier 2b,0,Reseller
20029785,BANCO MASTER SA,Tier 5,0,Reseller
2295342,Amherst,Tier 5,0,
635192,Wright Risk Management,Tier 5,0,
20029741,The Sysdoc Group Limited,Tier 5,0,Reseller
20029786,Cape Cod Healthcare Inc,Tier 5,0,Reseller
2278557,Tudor Investment Corporation,Tier 5,0,
2102467,Screen Actors Guild,Tier 5,0,
20029743,Forecross Corporation,Tier 5,1,ISV Partner
20029787,PT Sinergi Transformasi Digital,Tier 5,1,Reseller
2286015,Village of Lisle,Tier 5,0,
2095463,Town of Goffstown,Tier 3c,0,
20029744,BRB Associates LLC,Tier 5,1,Distributor
20029788,PT Soltius Indonesia,Tier 5,1,Reseller
2276360,Solstice Benefits,Tier 5,0,
2162325,Westminster Communities of Florida,Tier 5,0,
20029745,"Bunge USA Ag Holdings, LLC",Tier 2b,0,Reseller
20029789,F1 Infotech Private Limited,Tier 5,1,Reseller
2268526,Education Mgmt Services,Tier 5,0,
617856,Benedictine University,Tier 5,0,
20029748,CTC Global Sdn Bhd,Tier 5,1,Reseller
20029790,Shenghong Petrochemical Group Co Ltd,Tier 5,0,Reseller
2268568,"The First, Anba",Tier 5,0,
543544,Healthcomp,Tier 5,0,
20029749,DynamicBit,Tier 5,0,Reseller
20029791,Iris Waves Pvt Ltd,Tier 5,1,Reseller
2296899,Nevada State Health Division,Tier 3c,0,
624154,Maverick Technologies LLC,Tier 2b,0,
20029751,National Printing Bureau,Tier 3d,0,Reseller
20029792,Dagang Net Technologies Sdn Bhd,Tier 5,1,Reseller
2268539,FM Facility Maintenance,Tier 5,0,
621152,Nazarene Publishing House,Tier 5,0,
20029752,EMT Distribution Pty Ltd,Tier 5,1,Reseller
20029793,ADENTRA Incorporated,Tier 5,0,Reseller
2288788,Islands Restaurants,Tier 5,0,
574998,Bob Jones University,Tier 5,0,
20029753,Novomatic Italia SpA,Tier 4,0,Reseller
20029794,CCPR - Cooperativa Central  dos Produtores Rurais de MG,Tier 5,0,Reseller
681045,Holt Texas Limited dba Holt Cat,Tier 5,0,
609336,State of Nevada Department of Education,Tier 3c,0,
20029755,Primax Colombia SA,Tier 5,0,Reseller
20029795,Rumo Logistica,Tier 5,0,Reseller
2297150,S&F Mgmt,Tier 5,0,
2064818,Quality Technology Inc.,Tier 5,0,
20029756,Usaflex  IndÃºstria Comercio S/A,Tier 5,0,Reseller
20029796,Peak Reinsurance Company Limited,Tier 5,0,Reseller
2279588,HW & Company,Tier 5,0,
582011,Spencer Gifts Incorporated,Tier 5,0,
20029757,Louisiana-Pacific Corporation,Tier 5,0,Reseller
20029797,Vastcom Technology Limited,Tier 5,1,Reseller; VAR Sell To
2278021,Social Vibe,Tier 5,0,
579032,Parkview Community Hospital & Medical Center,Tier 5,0,
20029758,"PT Bank Victoria International, Tbk",Tier 5,0,Reseller
20029799,CIRCANA SRL,Tier 5,0,Reseller
2271436,Southland Benefit Solutions LLC,Tier 5,0,
792862,"Lakeshore Learning Materials, LLC",Tier 5,0,
20029759,Applied Materials India Private Limited,Tier 3b,0,Reseller
20029800,Meiban International,Tier 5,0,Reseller
2272051,Tigris Financial Group,Tier 5,0,
2164047,Panorama Orthopedics & Spine Center,Tier 5,0,
20029760,G R Infraprojects Limited,Tier 2b,0,Reseller
20029801,Procom Services America Inc,Tier 5,0,Reseller
2282738,Solarcity,Tier 2b,0,
2130076,Peninsula Library System,Tier 5,0,
20029761,Lotus ICT Mexico SA de CV,Tier 5,1,Reseller; VAR Sell To
20029809,GraceKennedy,Tier 5,0,Reseller
2277623,Utex Industries,Tier 5,0,
561436,Oakton Community College,Tier 5,0,
20029762,Amdocs Brasil Limitada,GOSI,1,Reseller
20029810,DC Gov Department of Health Care Finance â€“ DHCF,Tier 3c,0,
2268401,Chromalloy Castings,Tier 5,0,
3255104,Ibaset,Tier 5,0,
20029763,Grupo Prominente,Tier 5,0,Reseller
20029811,Calvary Chapel FourteenSix,Tier 5,0,Reseller
2289621,Mill Creek Lumber,Tier 5,0,
571236,Glens Falls Hospital,Tier 5,0,
20029764,Central California Alliance for Health,Tier 5,0,Reseller
20029812,Group Vivendi Africa,Tier 2b,0,Reseller
2268400,"Hancock, Daniel, Johnson & Nagle, PC",Tier 5,0,
581274,Finch Pruyn & Company,Tier 5,0,
20029766,PMW790 NAVWAR,Tier 3c,0,Reseller
20029813,Policia Civil da Bahia,Tier 5,0,Reseller
2271342,Madison County Medical Center,Tier 5,0,
2158542,USAA Real Estate Company,Tier 1,0,
20029768,"LTIMindtree Sverige, filial till LTIMindtree Limited, Indien",GOSI,0,Reseller
20029822,Magnoos Information Systems Technology Company,Tier 3a,1,Reseller
2280101,Calico Cottage,Tier 5,0,
2166937,InComm Holdings Incorporated,Tier 5,0,
20029769,WE Excel Software Pvt Ltd,Tier 5,1,Reseller
20029823,COMUTITRES,Tier 2b,0,Reseller
2268458,Bendpak Incorporated,Tier 5,0,
571623,Grossmont-Cuyamaca Community College District,Tier 5,0,
20029767,LTIMindTree Limited,GOSI,1,Reseller
20029824,Shared Technology Services Group LLC,Tier 4,0,Reseller
2268720,Burbank-Glendale-Pasadena Airport Authority,Tier 4,0,
627834,GA Communications,Tier 5,0,
20029771,Silver Reef Casino,Tier 5,0,Reseller
20029825,ESML SD Iberia Holding SA,Tier 2b,0,Reseller
2299186,ESAPCO,Tier 5,0,
571161,Maverick Transportation Incorporated,Tier 5,0,
20029774,Grupo SKF,Tier 4,0,Reseller
20029826,Befesa,Tier 4,0,Reseller
2268257,Maryland Office of the Attorney General,Tier 5,0,
581501,Town of Hempstead,Tier 3c,0,
20029775,Puerto Interior Guanajuato,Tier 2b,0,Reseller
20029827,Komm.One,Tier 4,0,Reseller
2284377,Mississippi Department of Information Technology Services,Tier 3c,0,
2323649,Abu Dhabi Aviation,Tier 5,0,
20029776,Axis Capital,Tier 3b,0,Reseller
20029828,IP Infotech Private Limited,Tier 5,0,Reseller
2267963,Summit Pointe Behavioral Health,Tier 5,0,
2323658,Progressive Waste Solutions,Tier 5,0,
20029777,Rathbone Group,Tier 5,0,Reseller
20029829,NTT DATA Americas Inc,GOSI,0,Reseller
2270807,United States Pharmacopeia,Tier 5,0,
2323693,Slate Path Capital LP,Tier 5,0,
2101492,AIU Corporation,Tier 5,0,
20029830,LVMH ASIA PACIFIC LTD,Tier 2b,0,Reseller
2295991,Quickq LLC,Tier 5,0,
581535,Trident Technical College,Tier 3c,0,
540249,AIU KK,Tier 3d,0,
20029831,Gurugram Metropolitan Development Authority,Tier 5,0,Reseller
2268997,US Naval Surface Warfare Center,Tier 3c,0,
2323694,Clearfield Hospital,Tier 5,0,
2164832,AJ Lot 4R LLC,Tier 2b,0,
20029832,Bankinter Portugal,Tier 3d,0,Reseller
2267962,Forest River Incorporated,Tier 5,0,
2323666,Federal Customs Authority - UAE,Tier 5,0,
604045,AJN Software Consultants,Tier 3d,0,
20029833,SES Space & Defense Inc,Tier 4,0,Reseller
2269996,Giftango,Tier 5,0,
2323663,Up to Par Technology,Tier 5,0,
591866,ALBERTA ENERGY COMPANY LIMITED,Tier 2b,0,
20029834,eSolution Tech,Tier 5,0,Reseller
2270631,"Freeman, Freeman & Smiley LLP",Tier 5,0,
2359541,AMHC,Tier 5,0,
563863,ALLIANCE POINT,Tier 5,0,
20029835,Transcendia Incorporated,Tier 5,0,Reseller
2288759,4M Emergency Systems,Tier 5,0,
2359547,Symmetry LLC,Tier 5,0,
792143,ALLIED MILLS AUSTRALIA PTY Limited,Tier 5,0,
20029836,SLW Warren LLC,Tier 5,0,Reseller
2273717,Dowling Aaron,Tier 5,0,
2298393,Xylem Europe GmbH,Tier 4,0,
2116182,ALNETz Corporation,Tier 3d,0,
20029837,"SIMPLE MART RETAIL CO., LTD.",Tier 5,0,Reseller
2277794,Kenesis,Tier 5,0,
2359667,Ville de Nogent Sur Oise,Tier 5,0,
3259148,ALSTOM Australia Ltd,Tier 3b,0,
20029838,Swiss Life Asset Management AG,Tier 2b,0,Reseller
2268294,CT Childrens Medical Center,Tier 5,0,
2359677,The Center for Sleep Medicine,Tier 5,0,
607422,AM Corporation,Tier 5,0,
20029839,MARVIMUNDO SLU,Tier 5,0,Reseller
2282872,"Adams County, Indiana",Tier 5,0,
2359748,Quipux SAS,Tier 5,0,
529669,AM SA Servicos de Credito e Cobranca e Processamento de Dados,Tier 5,0,
583676,East Texas State University,Tier 5,0,Reseller
2272707,Roppe Holding Company,Tier 5,0,
2359752,Banco Azul de El Salvador,Tier 5,0,
2085382,"AMAIL CO, LTD.",Tier 3d,0,
20029840,The Texas State University System,Tier 5,0,Reseller
2283036,University of Arizona-Biosphere 2,Tier 4,0,
2359753,Richland State Bank,Tier 5,0,
570726,AMB Property Corporation,Tier 5,0,
20029841,SISAL SPA,Tier 4,0,Reseller
2282051,WB Engineers-Consultants,Tier 5,0,
2359755,Rytec Corp,Tier 5,0,
3252807,AMC CPSS,Tier 3c,0,
20029842,Banco Santander Argentina SA,Tier 2b,0,Reseller
2272534,Centreville Bank,Tier 5,0,
2359742,Tohono O'Odham Community College Development LLC,Tier 5,0,
2000683,AMCON SOLUTIONS GROUP,Tier 5,0,
20029843,NJ3Q Technology LLC,Tier 5,1,Reseller
2296955,Navy Bloodborne Infection Management Center,Tier 3c,0,
2359743,Matrix Solutions,Tier 5,0,
2265252,GLOBALFOUNDRIES US Incorporated,Tier 2b,0,
20029845,Ball Horticultural Company,Tier 5,0,Reseller
2276142,Jedson Incorporated,Tier 5,0,
2359726,Avl North America Incorporated,Tier 4,0,
2155708,AMD Far East Ltd.,Tier 2b,0,
20029847,Santa Clarita Community College District,Tier 5,0,Reseller
2271433,Ipswich Public Schools,Tier 5,0,
2359747,United States Agency for International Development,Tier 3d,0,
2135097,AMDOCS BCS  Incorporated,GOSI,0,
20029848,Bureau of Labor Insurance-Ministry of Labor,Tier 5,0,Reseller
2295494,L-3 Communications DPCS,GOSI,0,
2359741,Ministry of Manpower Sultanate of Oman,Tier 3b,0,
2002296,AMI Insurance Limited,Tier 5,0,
2363731,SLPT Global Pump Group,Tier 5,0,Reseller
2279587,SPI Pharma,Tier 5,0,
2359776,Medecins du Monde,Tier 5,0,
593360,AMI Meltshops S.A de C.V.,Tier 5,0,
20029849,Watchstone Group,Tier 5,0,Reseller
2269038,Bradken,Tier 5,0,
2332769,Blokker Holding B.V.,Tier 5,0,
563435,AMI Semiconductor Incorporated,Tier 4,0,
20029850,Versant Health Inc,Tier 2b,0,Reseller
2268082,Sartori Company,Tier 5,0,
2359781,Cuyahoga County Board of Elections,Tier 3c,0,
590004,AMP Services (NZ) Limited,Tier 3b,0,
20029851,Tilsitt Co.,Tier 5,0,Reseller
2284237,Fox Chase Bank,Tier 5,0,
2359783,CVPath Institute,Tier 5,0,
529670,AMP Manufacturing (S) Pte Limited,Tier 3b,0,
20029853,Data Market Bilgi Hizmelteri AS,Tier 3d,1,Reseller
2218286,Collier County Sheriff's Office,Tier 5,0,
2359786,Affinity Water Limited,Tier 2b,0,
2166896,AMP Services Limited,Tier 2b,0,
20029855,Mississippi Department of Child Protection Services,Tier 3c,0,Reseller
2274721,Pearson Knowledge Technology,Tier 3b,0,
626101,Brookings Institution,Tier 5,0,
529674,AMPAC Life Limited,Tier 4,0,
20029856,2Grips BV,Tier 5,0,Reseller
2271079,Charleston School of Law,Tier 5,0,
2359811,Florida Division of Blind Services,Tier 3c,0,
559816,AMTC,Tier 5,0,
561919,State of Mississippi Human Services,Tier 3c,0,Reseller
2295447,Leicester Public Schools,Tier 5,0,
2359812,Stanislaus County DCSS,Tier 3c,0,
529676,ANAM Telecom,Tier 5,0,
20029860,ONLH Holdings GP LLC,Tier 5,0,Reseller
2273682,Shelby Memorial Hospital,Tier 5,0,
2359828,China Mobile Group Hubei Company Limited,Tier 5,0,
2009509,ANDREAS STIHL Moto-Serras Ltda.,Tier 4,0,
20029859,Constellation Insurance GP LLC,Tier 5,0,Reseller
2276703,SKC,Tier 5,0,
2359860,NCS Multistage LLC,Tier 5,0,
563850,Angelo State University,Tier 5,0,
20029858,ONLH Holdings LP,Tier 5,0,Reseller
2268049,Heineken USA Incorporated,Tier 3b,0,
2359866,The Baupost Group,Tier 5,0,
2129260,ANTS Software Incorporated,Tier 5,0,
20029857,Constellation Insurance Holdings Inc,Tier 5,0,Reseller
2273956,Avenue Bank,Tier 5,0,
20001919,Cognizant Oil and Gas Consulting Services Norway AS,GOSI,0,
608324,ANZ Funds Management Limited,Tier 2b,0,
20029862,Amdocs Pty Ltd,GOSI,1,Reseller
2282348,Canadien Nexen Petroleum Yemen-2nd Install,Tier 5,0,
2359872,Shoshone-Bancock Tribes Gaming Operation,Tier 3c,0,
2136451,ANZ Operations and Technology Pvt. Ltd.,Tier 5,0,
20029863,OberÃ¶sterreichische Gesundheitsholding GmbH,Tier 5,0,Reseller
2287681,Sterling Computers Corporation,Tier 5,1,Reseller; Value Add
2359880,Data-One,Tier 5,0,
559018,AOK Bundesverband,Tier 3b,0,
